characterId,캐릭터명,캐릭터 생성 날짜,최고 레벨 달성 날짜,전직명,직업명,전/후,성장속도,성공여부
4a0fb7f087263e1d15b1fc7cf4880e43,윤명진신성,2023-07-07,2023-07-07,프리스트(남),眞 크루세이더,후,1.0,성공
61f3b0a75cc5f5051666d2107f3f5f2a,이경규가싼다,2023-07-08,2023-07-09,총검사,眞 트러블 슈터,후,2.0,실패
ef2b787cf6bbfe593f6402cebe37cfc1,이끄엑끄,2023-07-06,2023-07-09,귀검사(남),眞 아수라,후,4.0,실패
8d9d460bd770d20785fe7100a2fe960b,레인저라구..,2023-06-20,2023-07-17,거너(남),眞 레인저,전,28.0,실패
cc35c9ab6f28eb6d6b7712bb3e30ac3f,장마{rain},2023-06-29,2023-06-30,거너(여),眞 메카닉,후,2.0,실패
b94d472751d1cfc533b097a9fabbb2b9,날먹석박사,2023-07-17,2023-07-17,거너(여),眞 메카닉,후,1.0,성공
1e7074534f81134c952df3984b804c3f,폭발세계,2023-07-17,2023-07-17,총검사,眞 트러블 슈터,후,1.0,성공
5117c717d0c76f96ab39f7b263b728af,가입만원지급,2023-07-17,2023-07-17,아처,眞 트래블러,후,1.0,성공
1bc0ef848c508f8144b0162417541de2,유히뮤즈,2023-07-14,2023-07-17,아처,眞 뮤즈,후,4.0,실패
77a213fdd29968785e5911a53ee6a570,런처카이저,2023-07-17,2023-07-17,거너(남),眞 런처,후,1.0,성공
4767def362b02415ca58e67452bf5a4d,유해조수처치,2023-04-27,2023-04-27,아처,眞 트래블러,전,1.0,성공
be3eb718a12dbeb66d9ec5dc334e510c,책읽는홍익이,2023-06-30,2023-07-02,귀검사(남),眞 웨펀마스터,후,3.0,실패
c71b5da747af254235305bfbfa3d4acc,뇌를바꾸자,2023-06-03,2023-06-03,거너(남),眞 레인저,전,1.0,성공
d8bb6ae1675e65843b5b4a47ba7a18f6,무무라핌3호,2023-06-28,2023-07-18,프리스트(여),眞 크루세이더,전,21.0,실패
6e7b23aa345c79d2c0cec7adae0193ee,어썰트--*,2023-07-17,2023-07-17,거너(남),眞 어썰트,후,1.0,성공
